species;density;Q factor;Young modulus;sound radiation coefficient
;kg/m3;;Gpa;
cedar;304,1;137,1;5,6;14,1
cedar;341,3;214,6;7,9;14,1
cedar;350,3;193,8;8;13,7
cedar;306,6;194,6;5,4;13,6
cedar;336,8;234,4;6,8;13,4
cedar;311,7;222,9;5,3;13,2
cedar;347,6;256,7;7,2;13,1
cedar;313;212,9;5,1;13
cedar;306,6;220,7;4,8;12,9
cedar;334,9;196,8;6,3;12,9
cedar;304,2;201,3;4,6;12,8
cedar;310,3;233,8;4,9;12,8
cedar;344,1;241,9;6,5;12,8
cedar;337;244,5;6,1;12,7
cedar;323,3;190,6;4,9;12
moon spruce Alps;435,9;147,5;11,1;11,6
moon spruce Alps;428,6;143,9;11,1;11,9
moon spruce Alps;410,3;181;13,1;13,8
moon spruce Alps;390;174,3;11,5;13,9
moon spruce Alps;374,8;178,7;10,4;14
moon spruce Alps;404,8;179;13,1;14
moon spruce Alps;429,1;126,9;11,7;12,2
moon spruce Alps;441,6;152,6;11,3;11,5
moon spruce Alps;429,4;153,2;11,5;12,1
moon spruce Alps;406,8;169,8;12,9;13,8
moon spruce Alps;405,1;168,5;12,6;13,8
moon spruce Alps;362,8;164;11;15,1
moon spruce Alps;366,5;168,8;10;14,3
moon spruce Alps;368,8;166,1;10,4;14,4
moon spruce Alps;431,2;162,3;11,5;12
moon spruce Alps;389,8;175,6;11,7;14
moon spruce Alps;427,3;160,6;11,6;12,2
moon spruce Alps;403,1;180,2;13;14,1
moon spruce Alps;409,2;162,1;12,4;13,4
moon spruce Alps;420,2;166;11,6;12,5
moon spruce Alps;429,3;182,5;13,5;13,1
moon spruce Alps;421,6;182,5;11,5;12,4
moon spruce Alps;422,8;168,1;11,5;12,3
moon spruce Alps;416,8;174,7;13,8;13,8
moon spruce Alps;432,2;186,3;14;13,1
adirondak spruce;516;169,9;16,7;11
redwood;378,1;271;7,7;12
adirondak spruce;447;139,2;11,7;11,4
lutz spruce;412,1;169,3;13,7;14
lutz spruce;411,5;140,8;13,4;13,8
western red cedar;355,6;281,4;8,3;13,6
sitka spruce;450,1;86,1;12,7;11,8
sitka spruce;450,1;88,2;12,8;11,9
Jura spruce;458,1;160;13,5;11,9
sitka spruce;391,3;135,7;11,2;13,7
engelman spruce;398;150;11,9;14
engelman spruce;412,6;138,2;10,5;12,2
Jura spruce;448,7;178,8;12,6;11,8
Jura spruce;448,7;177,1;12,6;11,8
Jura spruce;448,7;176,1;13,5;12,2
